Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,language,average_sentiment_score,sentiment,account_name,words_matched_list,matched_keywords,category,FSDS_matched_keywords,FSDS_category
14,844670069305159681,2017-03-22 22:00:12,['https://t.co/W95\xe2\x80\xa6'],RT @FinancesCanada: Le ministre Morneau a déposé le #Budget2017. Voici comment il peut vous aider et aider votre famille : https://t.co/W95…,RT FinancesCanada Le ministre Morneau le Budget2017 Voici comment il peut vous aider et aider votre famille https co,['#Budget2017'],27,0,27,fr,0.0,Neutral,AAC_Canada_tweeter,"['ministre', 'finance']",[],['other'],[],unknown
15,832288516444925953,2017-02-16 18:00:20,"['https://t.co/DaqUfcjdAN', 'https://t.co/C2lFhjQvDJ']",Célébrez le #JourAgCan. Découvrez l’agriculture canadienne : https://t.co/DaqUfcjdAN Une culture en pleine croissance! https://t.co/C2lFhjQvDJ,brez le JourAgCan couvrez agriculture canadienne https co DaqUfcjdAN Une culture en pleine croissance https co C2lFhjQvDJ,['#JourAgCan'],9,9,18,fr,0.0,Neutral,AAC_Canada_tweeter,['agriculture'],[],['other'],['croissance'],Clean growth
16,929093059425468416,2017-11-10 21:07:01,['https://t.c\xe2\x80\xa6'],RT @VeteransFR_CA: 10 nov. 1917–Les soldats canadiens ont donné l’assaut final à la bataille de Passchendaele #Passchendaele100 https://t.c…,RT 10 nov Les soldats canadiens ont assaut final la bataille de Passchendaele Passchendaele100 https,['#Passchendaele100'],18,0,18,fr,0.0,Neutral,AAC_Canada_tweeter,,[],['other'],[],unknown
17,892400874248695809,2017-08-01 15:05:23,[],RT @CommerceCanada: Heureux que les entreprises canadiennes puissent tirer parti de nouvelles opportunités économiques en Ukraine avec l’#A…,RT CommerceCanada Heureux que les entreprises canadiennes puissent tirer parti de nouvelles conomiques en Ukraine avec,['#A'],17,0,17,fr,0.0,Neutral,AAC_Canada_tweeter,['commerce'],[],['other'],"['entreprise', 'entreprise', 'entreprise']",Low-carbon government
18,828679816933175297,2017-02-06 19:00:39,['https://t.co/v4IKOaMZN6'],Février est le #MoisDeLaPomme! SVQ la pomme est la deuxième plus importante culture fruitière du Canada? #AgCan https://t.co/v4IKOaMZN6,vrier est le MoisDeLaPomme SVQ la pomme est la plus importante culture du Canada AgCan https co v4IKOaMZN6,"['#MoisDeLaPomme', '#AgCan']",11,5,16,fr,0.0,Neutral,AAC_Canada_tweeter,['culture'],[],['other'],"['fruitier', '#agcan', '#agcan']",Sustainable food
19,855814250987749378,2017-04-22 16:03:12,['https://t\xe2\x80\xa6'],RT @DevCanada: Lisez la lettre d’op de min Bibeau/sec exéc Barbut @UNCCD: #désertification &amp; lutte contre #changementsclimatiques https://t…,RT DevCanada Lisez la lettre op de min Bibeau sec Barbut UNCCD sertification amp lutte contre changementsclimatiques https,"['#d', '#changementsclimatiques']",15,0,15,fr,0.0,Neutral,AAC_Canada_tweeter,"['eau', 'climat', 'climatique']",[],['other'],"['#changementsclimatiques', '#changementsclimatiques', '#changementsclimatiques']",Effective action on climate change
20,838796877369864192,2017-03-06 17:02:14,[],"RT @MindesSciences: Voici la Bibliothèque scientifique fédérale! Publications sur les sciences, les technologies, l’ingénierie et plus: htt…",RT MindesSciences Voici la que scientifique rale Publications sur les sciences les technologies nierie et plus,[],15,0,15,fr,0.0,Neutral,AAC_Canada_tweeter,"['technologies', 'technologie']",[],['other'],"['scientifique', 'fédéral', 'technologie', 'technologie', 'technologie', 'technologie']",Clean growth
21,797450707272159232,2016-11-12 14:47:19,['https://t.co/oKKkJXHDyI'],"Criez-le sur les
toits #AgCan – il ne reste que 50 jours avant #Canada150! https://t.co/oKKkJXHDyI",Criez le sur les toits AgCan il ne reste que 50 jours avant Canada150 https co oKKkJXHDyI,"['#AgCan', '#Canada150']",9,5,14,fr,0.0,Neutral,AAC_Canada_tweeter,,[],['other'],"['#agcan', '#agcan']",Sustainably managed lands and forests
22,907980894530654208,2017-09-13 14:54:49,[],RT @CommerceCanada: Voyez comment les compagnies et exportateurs de produits agricoles et agroalimentaires 🇨🇦 bénéficieront de l’#AECG http…,RT CommerceCanada Voyez comment les compagnies et exportateurs de produits agricoles et agroalimentaires ficieront de AECG,['#AECG'],14,0,14,fr,0.0,Neutral,AAC_Canada_tweeter,"['mer', 'or', 'air']",[],['other'],"['produit', 'produit', 'agroalimentaires']",Sustainable food
23,839209954863042561,2017-03-07 20:23:39,['https://t.co/QF5NNZFf8L'],Nous pouvons aider les agriculteurs à payer leur dette agricole. Informez-vous sur notre service de médiation. https://t.co/QF5NNZFf8L,Nous pouvons aider les agriculteurs payer leur dette agricole Informez vous sur notre service de diation https co QF5NNZFf8L,[],4,9,13,fr,0.0,Neutral,AAC_Canada_tweeter,"['or', 'ice']",[],['other'],"['agriculteur', 'agricole']",Sustainable food
